,graph_name,noBranchingapc,noBranching_time,noBranchingMathTime,noBranchingFirstHalfTime,(no)longest for getrgf,(no)longest time,noBranchingCase,noBranchingGamma
23,pigeonhole_sort_.pigeonholeSort,2.39559553906698*1.26277545299632**n,2.7715976238250732,0.09948301315307617,1.8472633361816406,gammaTime,1.841,1.0,-T0 - x**9*(x + 1)/(x**17 + 3*x**16 + 4*x**15 + 3*x**14 + x**13 - x**12 - 4*x**11 - 8*x**10 - 7*x**9 - 2*x**8 + 3*x**7 + 3*x**6 + 2*x**5 + 2*x**4 + 2*x**3 - x - 1)
24,quick_sort_.quickSort,1.23616310201623**n,0.4946105480194092,case 2,0.3307509422302246,gammaTime,0.326,2.0,(-T0*(x**8 + x**4 - 1) + x**2*(-T0**2*x**7 + x**8 + x**4 - 1))/(x**8 + x**4 - 1)
25,radix_sort_.RadixSort,0.163860778365951*1.28181627072238**n,4.161105394363403,0.10908985137939453,3.173386812210083,gammaTime,3.164,1.0,(-T0*(x**5 + x**4 - 1)*(2*x**12 + 2*x**11 + x**10 - x**9 - 2*x**8 - 3*x**7 - 2*x**6 + x**5 + 3*x**4 + 3*x**3 - x - 1) + x**8*(x**10 + x**9 + 2*x**8 - 3*x**5 - 2*x**4 - 2*x**3 + x**2 + x + 1))/((x**5 + x**4 - 1)*(2*x**12 + 2*x**11 + x**10 - x**9 - 2*x**8 - 3*x**7 - 2*x**6 + x**5 + 3*x**4 + 3*x**3 - x - 1))
26,radix_sort_2_.radixsort2,0.101456341927512*1.27284277900789**n,1.2514805793762207,0.08137392997741699,0.8272473812103271,gammaTime,0.822,1.0,(T0*x**11 - (T0 - x**3)*(x**12 - 4*x**9 + 6*x**6 - 4*x**3 + 1))/(x**12 - x**11 - 4*x**9 + 6*x**6 - 4*x**3 + 1)
27,random_quick_sort_.random_quick,1.30640546411564**n,2.152348279953003,case 2,1.2528316974639893,gammaTime,1.242,2.0,(-T0*(x**13 - (x**3 - x**2 + x - 1)**2) + x**3*(-T0**2*x**13*(x**5 + x**4 + 2*x**2 + 2*x + 1) + x**13 - (x**3 - x**2 + x - 1)**2))/(x**13 - (x**3 - x**2 + x - 1)**2)
28,selection_sort_.selectionSort,0.136868029964744*1.27404951985022**n,0.9722929000854492,0.12072420120239258,0.49152112007141113,gammaTime,0.487,1.0,(-T0*(x**10 + x**6 + x**5 + x**4 - 1) + x**3*(x**5 + x**4 - 1))/(x**10 + x**6 + x**5 + x**4 - 1)
29,selection_sort_recursive_.selectionSort,0.126226716088359*1.25738147630109**n,0.6728575229644775,0.07254600524902344,0.2530531883239746,gammaTime,0.249,1.0,(-T0*(x**5 + x**4 - 1) + x**3*(-T0*x**4*(x**4 + 1) + x**5 + x**4 - 1))/(x**5 + x**4 - 1)
30,shaker_sort_.shakersort,0.122537298997777*1.25986094258467**n,1.524430513381958,0.0970926284790039,0.924560546875,gammaTime,0.917,1.0,(-T0*(x**16 + 2*x**12 - x**8 - x**7 - 2*x**4 + 1) + x**3*(x**16 + 2*x**12 - x**8 - 2*x**4 + 1))/(x**16 + 2*x**12 - x**8 - x**7 - 2*x**4 + 1)
31,shell_sort_.shellSort,0.0857024477555051*1.26151684096538**n,1.4762187004089355,0.0675814151763916,0.9908902645111084,gammaTime,0.986,1.0,(-T0*(-x**13 - x**12 + x**8 + 2*x**7 + x**6 + x**5 - 1) + x**3*(x**8 + 2*x**7 + x**6 - 1))/(-x**13 - x**12 + x**8 + 2*x**7 + x**6 + x**5 - 1)
32,shell_sort2_.shell_sort,0.040929564523023*1.32471795724478**n,1.1578519344329834,0.05263352394104004,0.7185826301574707,gammaTime,0.714,1.0,(-T0*(-x**10 - x**9 + x**7 + x**6 + 2*x**5 + x**4 - 1) + x**3*(x**7 + x**6 + x**5 + x**4 - 1))/(-x**10 - x**9 + x**7 + x**6 + 2*x**5 + x**4 - 1)
33,stooge_sort_.stoogesort,1.34707687617538**n,0.8918852806091309,case 2,0.09467339515686035,realnrootsTime,0.411,2.0,-T0 + x**4*(T0**3 + 1)*(x + 1)
34,binary_search_.binarysearch2,3.0*1.12246204830937**n,0.49459385871887207,0.13315296173095703,0.2468094825744629,gammaTime,0.244,1.0,(-2*T0*x**6 + T0 - x**6 - x**5 - x**4)/(2*x**6 - 1)
35,binary_search_.binarysearch1,2.0*1.14869835499704**n,0.3117716312408447,0.11956954002380371,0.08134174346923828,getrgfTime,0.12,1.0,-T0 + x**3*(x*(2*T0*x + 1) + 1)
36,exponential_search_.exponential_search,5.00647414679339*1.22074408460576**n,1.0708720684051514,0.08151030540466309,0.6384372711181641,gammaTime,0.633,1.0,(-T0*(2*x**5 - 1)*(x**4 + x**3 - 1) + x**3*(x**7*(x + 1)*(x**2 + 2*x + 1) + (2*x**5 - 1)*(x**4 + x**3 - 1)))/((2*x**5 - 1)*(x**4 + x**3 - 1))
37,fibonacci_search_.fibMonaccianSearch,2.33520478818276*1.22250978747803**n,0.9102051258087158,0.05366873741149902,0.6259057521820068,gammaTime,0.62,1.0,(-T0*(2*x**10 - 2*x**6 - x**2 + 1) + x**7*(2*x**3 + 2*x + 1))/(2*x**10 - 2*x**6 - x**2 + 1)
38,floyd_cycle_detection_algorithm_.duplicateNumber,0.125*1.0**n*n**2,0.5154249668121338,0.019885540008544922,0.359938383102417,gammaTime,0.357,1.0,(-T0*(x**4 - 2*x**2 + 1) + x**3*(x**5 + x**4 - 2*x**2 + 1))/(x**4 - 2*x**2 + 1)
39,interpolation_search_.interpolationSearch,0.65579051314241*1.30238763446289**n,0.9701104164123535,0.06017184257507324,0.4673299789428711,gammaTime,0.464,1.0,(-T0*(x**9 + x**8 + 2*x**7 + x**6 + x**5 - 1) + x**5*(-x**4 - x**3 - 2*x**2 - x - 1))/(x**9 + x**8 + 2*x**7 + x**6 + x**5 - 1)
40,jump_search_.jump_search,0.599999999999999*1.14869835499704**n*n,1.130500078201294,0.15024685859680176,0.8228785991668701,gammaTime,0.818,1.0,(-T0*(4*x**10 - 4*x**5 + 1) + x**7*(-4*x**5 + 4*x**4 + 4*x**2 + 2))/(4*x**10 - 4*x**5 + 1)
41,linear_search_.linearsearch,0.5*1.0**n*n,0.27391481399536133,0.011949300765991211,0.1738574504852295,gammaTime,0.171,1.0,(-T0*(x**3 - x**2 + x - 1) - x**4)/(x**3 - x**2 + x - 1)
42,modified_binary_search_.modifiedBinarySearch,0.375*1.12246204830937**n*n,1.5178072452545166,0.20915794372558594,1.0288865566253662,gammaTime,1.019,1.0,(-4*T0*x**12 + 4*T0*x**6 - T0 + 2*x**20 + 4*x**19 + 3*x**18 + x**17 + x**15 - 3*x**14 - 2*x**13 - 4*x**12 + 2*x**8 + x**7 + 2*x**6)/(4*x**12 - 4*x**6 + 1)
43,other_binary_search_.binarySearch,2.0*1.12246204830937**n,0.43645715713500977,0.1567692756652832,0.2039356231689453,gammaTime,0.201,1.0,(-2*T0*x**6 + T0 - x**5 - x**4)/(2*x**6 - 1)
44,sentinel_linear_search_.sentinel_linear_search,1.0**(n + 1)*n,0.3472268581390381,0.01912379264831543,0.22408103942871094,gammaTime,0.221,1.0,(-T0*x**2 + T0 - 2*x**7 + x**5 - x**3)/(x**2 - 1)
45,ternary_search_.ternarySearch,1.54802136333746*1.17969389074151**n,0.4427938461303711,0.04230690002441406,0.1576366424560547,genFuncTime,0.189,1.0,-T0 + x**3*(x*(x*(T0*x*(2*x + 1) + 1) + 1) + 1)
46,boyer_moore_search_.boyer_moore_search,0.0452772335377073*1.37600253791232**n,1.8101963996887207,0.11067628860473633,0.9724729061126709,gammaTime,0.966,1.0,(-T0*(x**6 - 2*x**3 + 1)*(2*x**11 + 4*x**10 + 2*x**9 + x**4 + x**3 - 1) + x**8*(x**4 + x**3 - 1))/((x**6 - 2*x**3 + 1)*(2*x**11 + 4*x**10 + 2*x**9 + x**4 + x**3 - 1))
47,naive_search_.naive_search,0.223305074822621*1.28519903324544**n,0.5860946178436279,0.03602313995361328,0.3363006114959717,gammaTime,0.333,1.0,(-T0*(x**6 + x - 1) + x**3*(x - 1))/(x**6 + x - 1)
48,rabin_karp_search_.rabin_karp_search,0.185418826032106*1.32471795724478**n,1.7267475128173828,0.07929587364196777,1.0998742580413818,gammaTime,1.093,1.0,-T0 + x**7/(x**15 + 2*x**14 + 2*x**13 - x**12 - 3*x**11 - 2*x**10 + x**9 + 2*x**8 - x**5 - 2*x**3 + 1)
49,dijkstra_.dijkstra,0.0261473140648364*1.24759109662736**n,2.300706148147583,0.10457634925842285,1.6034975051879883,gammaTime,1.594,1.0,-T0 - x**8*(x**7 + x**6 + x**4 - 1)/(x**18 + x**17 + x**15 + 2*x**14 + x**13 + x**12 + x**11 - x**10 - x**8 - 2*x**7 - x**6 - x**4 + 1)
50,prim_.prim,0.0430092029804531*1.3438087008139**n,2.8807311058044434,0.09582090377807617,2.017432451248169,gammaTime,2.011,1.0,(-T0*(x**14 + x**13 - x**11 - x**10 - x**8 + x**5 + (x**5 + x**4 - 1)*(x**9 + x**8 + x**7 - x**6 - x**5 - x**4 - x**3 + 1)) + x**5*(-x**11 - x**10 - x**9 + x**5 - (x**5 + x**4 - 1)*(x**6 + x**5 + x**4 - 1)))/(x**14 + x**13 - x**11 - x**10 - x**8 + x**5 + (x**5 + x**4 - 1)*(x**9 + x**8 + x**7 - x**6 - x**5 - x**4 - x**3 + 1))
51,lcs_.lcsbuild,0.229931454099601*1.30793010592736**n,0.9923784732818604,0.06115150451660156,0.5230164527893066,gammaTime,0.519,1.0,(-T0*(2*x**8 + 2*x**7 + x**6 + x**5 - 1) + x**3*(2*x**8 + 2*x**7 + x**6 + x**5 - x**4 - x**3 - 1))/(2*x**8 + 2*x**7 + x**6 + x**5 - 1)
52,matrix_chain_order_.matrixChainOrder,0.0692422378637588*1.29707968347547**n,2.748551607131958,0.09918642044067383,1.6856229305267334,gammaTime,1.679,1.0,-T0 + x**2*(2*x**12 + x**11 - x**7)/(x**19 + x**18 - 3*x**16 - 3*x**15 - 3*x**14 + 2*x**13 + 3*x**12 + 9*x**11 + 2*x**10 - 9*x**8 - 3*x**7 - 3*x**6 + 3*x**5 + x**4 + 3*x**3 - 1)
53,armstrong_number_.isArmstrong,1.34590019263237**n,129.63086700439453,case 2,0.6685445308685303,realnrootsTime,65.706,2.0,-T0*(T0*(x**2 - 1)*(T0*(x**2 - 1) + 2*x**8) - x**2*(T0**2*x**3*(x**2 - 1)**2 + 2*(T0*(x**2 - 1) + 2*x**8)**2))/(T0**2*(x**2 - 1)**2 - x**2*(T0**2*x**3*(x**2 - 1)**2 + 2*(T0*(x**2 - 1) + 2*x**8)**2))
