,graph_name,pythonBranchingAPC,pythonBranching_time,pythonBranchingMathTime,pythonBranchingFirstHalfTime,(python)longest for getrgf,(python)longest time,pythonBranchingCase,pythonBranchingGamma
35,binary_search_.binarysearch1,2.0*1.14869835499704**n,0.3708059787750244,0.11950182914733887,0.0829780101776123,genFuncTime,0.143,1.0,-T0 + x**3*(x*(2*T0*x + 1) + 1)
36,exponential_search_.exponential_search,5.00647414679339*1.22074408460576**n,1.019984483718872,0.08571672439575195,0.5942776203155518,gammaTime,0.589,1.0,(x**12*(x + 1) + 2*x**11*(x + 1) + x**10*(x + 1) - (2*x**5 - 1)*(T0*x**4 + T0*x**3 - T0 - x**7 - x**6 + x**3))/((2*x**5 - 1)*(x**4 + x**3 - 1))
37,fibonacci_search_.fibMonaccianSearch,2.33520478818276*1.22250978747803**n,0.9059810638427734,0.06507229804992676,0.5908899307250977,gammaTime,0.585,1.0,(-T0*(2*x**10 - 2*x**6 - x**2 + 1) + x**7*(2*x**3 + 2*x + 1))/(2*x**10 - 2*x**6 - x**2 + 1)
38,floyd_cycle_detection_algorithm_.duplicateNumber,0.125*1.0**n*n**2,0.5627546310424805,0.020230531692504883,0.410555362701416,gammaTime,0.407,1.0,(-T0*(x**4 - 2*x**2 + 1) + x**3*(x**5 + x**4 - 2*x**2 + 1))/(x**4 - 2*x**2 + 1)
39,interpolation_search_.interpolationSearch,0.65579051314241*1.30238763446289**n,0.9114117622375488,0.058442115783691406,0.44945693016052246,gammaTime,0.445,1.0,(-T0*(x**9 + x**8 + 2*x**7 + x**6 + x**5 - 1) + x**5*(-x**4 - x**3 - 2*x**2 - x - 1))/(x**9 + x**8 + 2*x**7 + x**6 + x**5 - 1)
40,jump_search_.jump_search,0.599999999999999*1.14869835499704**n*n,1.0800387859344482,0.1526329517364502,0.7767457962036133,gammaTime,0.771,1.0,(-T0*(4*x**10 - 4*x**5 + 1) + x**7*(-4*x**5 + 4*x**4 + 4*x**2 + 2))/(4*x**10 - 4*x**5 + 1)
41,linear_search_.linearsearch,0.5*1.0**n*n,0.2964956760406494,0.01647782325744629,0.1841416358947754,gammaTime,0.182,1.0,(-T0*(x**3 - x**2 + x - 1) - x**4)/(x**3 - x**2 + x - 1)
42,modified_binary_search_.modifiedBinarySearch,0.375*1.12246204830937**n*n,1.5364384651184082,0.21275734901428223,1.0298497676849365,gammaTime,1.017,1.0,(-4*T0*x**12 + 4*T0*x**6 - T0 + 2*x**20 + 4*x**19 + 3*x**18 + x**17 + x**15 - 3*x**14 - 2*x**13 - 4*x**12 + 2*x**8 + x**7 + 2*x**6)/(4*x**12 - 4*x**6 + 1)
43,other_binary_search_.binarySearch,2.0*1.12246204830937**n,0.35826969146728516,0.08237361907958984,0.1941666603088379,gammaTime,0.191,1.0,(-2*T0*x**6 + T0 - x**5 - x**4)/(2*x**6 - 1)
44,sentinel_linear_search_.sentinel_linear_search,1.0**(n + 1)*n,0.32048869132995605,0.01885533332824707,0.19844436645507812,gammaTime,0.196,1.0,(-T0*x**2 + T0 - 2*x**7 + x**5 - x**3)/(x**2 - 1)
